Customer No|Date Purchased|SKU|Price|Items Left|Total Cases Ordered
1|20170101|42357001|4.059|275|23
1|20170101|43394001|4.1690000000000005|116|9
1|20170101|42513001|1.6500000000000001|101|8
1|20170101|43034001|23.639|104|8
1|20170101|43744001|2.0130000000000003|97|8
1|20170101|43187001|3.091|108|9
1|20170101|42883001|2.75|104|8
1|20170101|42143001|3.9380000000000006|101|8
1|20170101|43725001|1.584|89|7
1|20170101|43840001|2.4200000000000004|104|8
1|20170101|43334001|1.4190000000000003|97|8
1|20170101|43555001|4.719|97|8
1|20170101|43320001|0.759|101|8
1|20170101|43690001|3.619|112|9
1|20170101|42617001|32.989000000000004|108|9
1|20170101|43293001|1.1990000000000003|101|8
1|20170101|42275001|1.562|104|8
1|20170101|42664001|4.829|101|8
1|20170101|43573001|2.068|97|8
1|20170101|42641001|4.389|104|8
1|20170101|42503001|1.265|101|8
1|20170101|42923001|4.829|116|9
1|20170101|42726001|4.719|116|9
1|20170101|42327001|3.5090000000000003|108|9
1|20170101|42595001|1.4080000000000001|101|8
1|20170101|44159001|3.9490000000000003|108|9
1|20170101|42996001|0.561|97|8
1|20170101|42407001|3.5090000000000003|104|8
1|20170101|43785001|6.699000000000001|104|8
1|20170101|42171001|3.3000000000000003|101|8
1|20170101|42127001|1.9360000000000002|101|8
1|20170101|43935001|1.573|101|8
1|20170101|42336001|2.7390000000000003|119|10
1|20170101|42477001|1.639|101|8
1|20170101|43465001|3.619|104|8
1|20170101|44069001|1.529|101|8
1|20170101|42966001|4.939000000000001|101|8
1|20170101|42852001|1.859|108|9
1|20170101|42621001|12.089|108|9
1|20170101|43736001|4.807|97|8
1|20170101|42909001|2.75|123|10
1|20170101|43990001|4.378|101|8
1|20170101|42784001|2.4090000000000003|101|8
1|20170101|43302001|2.7390000000000003|104|8
1|20170101|43334001|1.4190000000000003|96|8
1|20170101|43053001|1.1|101|8
1|20170101|43286001|3.5090000000000003|108|9
1|20170101|42417001|1.837|101|8
1|20170101|43138001|3.674|93|7
1|20170101|43514001|2.8380000000000005|101|8
1|20170101|43867001|1.9690000000000003|97|8
1|20170101|43475001|4.719|97|8
1|20170101|42607001|31.339000000000002|108|9
1|20170101|42501001|0.8910000000000001|97|8
1|20170101|42425001|3.5090000000000003|97|8
1|20170101|43739001|3.8390000000000004|97|8
1|20170101|43052001|2.4090000000000003|101|8
1|20170101|42844001|3.234|101|8
1|20170101|43803001|1.4630000000000003|104|8
1|20170101|42743001|1.342|93|7
1|20170101|42561001|2.4090000000000003|93|7
1|20170101|42363001|3.619|104|8
1|20170101|42149001|8.789000000000001|116|9
1|20170101|42142001|1.7270000000000003|104|8
1|20170101|42600001|11.539000000000001|112|9
1|20170101|43336001|1.4190000000000003|101|8
1|20170101|43731001|2.563|104|8
1|20170101|43997001|2.706|97|8
1|20170101|42818001|2.519|108|9
1|20170101|42281001|8.789000000000001|97|8
1|20170101|42897001|2.75|127|10
1|20170101|43419001|4.059|97|8
1|20170101|42199001|3.9930000000000003|101|8
1|20170101|42871001|2.7390000000000003|101|8
1|20170101|42471001|0.8470000000000001|108|9
1|20170101|42117001|2.959|108|9
1|20170101|43361001|1.4190000000000003|101|8
1|20170101|43639001|7.909000000000001|104|8
1|20170101|43417001|1.859|101|8
1|20170101|43061001|3.9490000000000003|86|7
1|20170101|43481001|4.389|101|8
1|20170101|43173001|0.803|108|9
1|20170101|43414001|3.2890000000000006|112|9
1|20170101|44054001|0.8360000000000001|104|8
1|20170101|43912001|4.213|101|8
1|20170101|42827001|0.803|123|10
1|20170101|43499001|4.939000000000001|101|8
1|20170101|43372001|0.9790000000000001|104|8
1|20170101|43048001|3.619|104|8
2|20170101|42522001|4.389|142|11
2|20170101|43122001|2.618|97|8
2|20170101|43190001|3.4210000000000003|97|8
2|20170101|43365001|0.9790000000000001|112|9
2|20170101|43215001|24.189|108|9
2|20170101|42891001|4.147|101|8
2|20170101|43023001|25.289|112|9
2|20170101|42290001|15.719000000000001|101|8
2|20170101|42098001|3.8390000000000004|101|8
2|20170101|42451001|1.573|104|8
2|20170101|42277001|2.4640000000000004|101|8
2|20170101|44072001|1.529|93|7
2|20170101|43460001|1.7490000000000003|101|8
2|20170101|44060001|2.849|97|8
2|20170101|43993001|4.114000000000001|101|8
2|20170101|42743001|1.342|92|7
2|20170101|43872001|1.859|97|8
2|20170101|43479001|3.2890000000000006|104|8
2|20170101|42735001|1.9800000000000002|108|9
2|20170101|42260001|2.035|104|8
2|20170101|42184001|3.3000000000000003|101|8
2|20170101|43244001|6.039000000000001|97|8
2|20170101|42182001|2.75|97|8
2|20170101|43201001|0.9790000000000001|93|7
2|20170101|42140001|1.7050000000000003|97|8
2|20170101|43561001|3.2450000000000006|101|8
2|20170101|42607001|31.339000000000002|107|9
2|20170101|42796001|2.189|108|9
2|20170101|42297001|8.789000000000001|104|8
2|20170101|44087001|2.849|108|9
2|20170101|43540001|6.039000000000001|101|8
2|20170101|43465001|3.619|103|8
2|20170101|42557001|2.4090000000000003|101|8
2|20170101|43591001|8.239|101|8
2|20170101|43333001|1.1990000000000003|101|8
2|20170101|42709001|2.6290000000000004|104|8
2|20170101|42372001|3.0140000000000007|108|9
2|20170101|42485001|2.3540000000000005|93|7
2|20170101|42457001|3.2560000000000002|97|8
2|20170101|42187001|2.9260000000000006|104|8
2|20170101|43983001|1.9140000000000001|93|7
2|20170101|42898001|2.75|119|10
2|20170101|43030001|12.089|108|9
2|20170101|42464001|3.6410000000000005|104|8
2|20170101|43099001|1.7600000000000002|97|8
3|20170101|42360001|2.079|277|23
3|20170101|42391001|2.75|116|9
3|20170101|44147001|3.9490000000000003|101|8
